科室,疾病,ICD编码,备注1,备注2,ICDcode,现有241类疾病中已包括,gender,age,兼职人员,top0症状体征,关键症状体征,重要症状体征,普通症状体征,关键化验检查,重要化验检查,普通化验检查,delete,
儿科,特定性学习技能发育障碍,,"[('学习困难', 69)]",,F81,,,,,"学习障碍,学习困难",,"认知功能障碍,学习困难,注意力不集中","四肢麻木,肌肉痉挛,神经疼痛,肌肉萎缩,严重情绪障碍",,,,,
儿科,弥漫性[综合性]发育障碍,,"[('孤独症', 244), ('自闭症', 62), ('孤独症谱系障碍', 7), ('孤独症广泛发育障碍', 2), ('孤独症倾向', 2)]",,F84,,,,,"弥漫性发育障碍,孤独症,自闭症,孤独症谱系障碍,孤独症广泛发育障碍,孤独症倾向",,"社会交往障碍,自闭,表情漠然,喜欢独处,交流障碍,孤独症,语言发育障碍","兴趣狭窄,刻板重复",,,,,
儿科,多动性障碍,,"[('ADHD', 2299), ('多动症', 214), ('多动', 75), ('好动', 72), ('多动倾向', 4)]",,F90,,,,,"多动性障碍,多动症,多动,好动,多动倾向",,"注意力不集中,学习困难,活动过度,行为冲动",品行障碍,,,,,
儿科,抽动障碍,,"[('抽动症', 5598), ('抽搐', 1708), ('抽动', 18), ('抽动障碍', 4), ('嘴角抽动', 2)]",,F95,,,,,"抽动障碍,抽动症,抽搐,抽动,抽动障碍,嘴角抽动",,"不自主运动,面部肌肉痉挛,局部肢体抽动","肌阵挛,强迫行为,点头征,躯体或颜面局部的连续性抽动,易激惹,摇头转颈,咽喉痉挛",,,,,
儿科,通常在童年和青少年期发病的其他行为和情绪障碍,,"[('遗尿症', 537), ('遗尿', 320), ('厌奶', 133), ('挑食', 27), ('偏食', 25)]",,F98,,,3,,"情绪障碍,遗尿症,遗尿,厌奶,挑食,偏食，口吃",,"偏食,挑食,尿失禁,尿床,遗尿,口吃","尿细流,膀胱不稳定,尿频尿急,厌奶,膀胱充盈",,,,,
儿科,"细菌性脑膜炎,不可归类在他处者",,"[('细菌性脑膜炎', 33), ('化脓性脑膜炎', 30), ('化脓性脑膜炎后', 10), ('隐球菌脑膜炎', 1), ('化脓性脑膜炎痊愈', 1)]",,G00,,,,,"细菌性脑膜炎,不可归类在他处者,细菌性脑膜炎,化脓性脑膜炎,化脓性脑膜炎后,隐球菌脑膜炎,化脓性脑膜炎痊愈",,"发热,寒战,抽搐,脑膜刺激征,嗜睡,烦躁不安,头疼","听力减退,呼吸异常,昏迷,瞳孔异常",脑脊液检查：有核细胞数异常增加；蛋白增高；脑脊液糖降低；细菌培养阳性,磁共振：脑水肿；硬膜下积液,脑电图：异常发作脑电图,,
儿童脑病中心,脑膜炎,G03.900 ,,,G03,No,,,嘉敏,,颈部肌肉僵硬,严重头痛、讨厌强光和巨大的声音,发烧、呕吐、拒绝饮食、嗜睡、啼哭增加,颈强、克氏征及布氏征等脑膜刺激征；脑脊液细胞学检查提示炎症；颅神经检查异常；眼底检查提示脑膜炎；四肢腱反射及病理反射异常,0,0,,
儿科,脑炎、脊髓炎和脑脊髓炎,,"[('脑炎', 22), ('急性播散性脑脊髓炎', 18), ('自体免疫性脑炎', 10), ('脊髓炎', 7), ('脑干脑炎', 6)]",,G04,,,,,"脑炎、脊髓炎和脑脊髓炎,脑炎,急性播散性脑脊髓炎,自体免疫性脑炎,脊髓炎,脑干脑炎",,"发热,恶心,颈强直,呕吐,意识模糊,头晕,嗜睡,烦躁不安,头疼","头痛,惊厥,出血疹,昏迷,高热",磁共振：脑水肿；脑积水等异常,脑脊液检查：有核细胞增多,血常规：白细胞增多,,
儿童脑病中心,锥体外系疾病,G20-G26,,,G20,No,,,,,,肌张力障碍，运动障碍，不自主运动,,,,,,
儿科,张力失常,,"[('肌张力增高', 82), ('运动障碍', 22), ('肌张力降低', 10), ('下肢肌张力增高', 9), ('四肢肌张力增高', 7)]",,G24,,,,,"张力失常,肌张力增高,运动障碍,肌张力降低,下肢肌张力增高,四肢肌张力增高",,"不自主运动,头颈部活动受限,运动功能障碍,舞蹈病样动作,节律性刻板重复的不自主运动,肌肉痉挛","眼睑痉挛,强迫性人格,牙关紧闭,恶心,颤抖,呕吐,全身肌张力障碍,吞咽困难,频繁性惊醒",,,,,
儿童脑病中心,格林巴利综合征,G37.901 ,,,G37,No,,,,,"剧烈神经根疼痛，四肢迟缓性瘫，多汗,面瘫",四肢麻木刺痛感、四肢烧灼感，,,,,,,
儿童脑病中心,癫癎[癫痫],,"[('癫痫', 7912), ('发作性症状', 1196), ('EP', 617), ('痫性发作', 291), ('婴儿痉挛症', 258)]",,G40,,,,,"癫癎,癫痫,发作性症状,EP,痫性发作,婴儿痉挛症",癫痫样发作,"肌阵挛,意识丧失,全身强直,智力发育迟缓,意识朦胧","恐惧,思维紊乱,语言发育迟缓,眼球偏斜,智力减低,记忆力消失,烦躁不安,复视,眩晕,幻听,咀嚼肌痉挛,心悸,婴儿睡觉出汗,腹痛,咽喉痉挛",脑电图：癫痫样波,磁共振：可能无异常改变,,,
儿科,偏头痛,,"[('偏头痛', 97)]",,G43,,,,,偏头痛,一侧头痛,"呕吐,头部隐隐作痛,眼眶疼痛,恶心","高血压,脑出血,畏光,出汗,畏声",,脑电图：头痛病人的脑电图改变不具有特异性，因为它可有正常波形。普通性慢波、棘波放电、局灶性棘波、类波以及对过度通气、闪光刺激有异常反应等各种波形。小儿偏头痛脑电图的异常率较高，达9%～70%不等，可出现棘波、阵发性慢波、快波活动及弥漫性慢波。,,,
儿科,其他头痛综合征,,"[('发作性头痛', 34), ('血管性头痛', 15), ('头痛头晕', 8), ('头晕头痛', 7), ('发作性头晕头痛', 2)]",,G44,,,,,"头痛综合征,发作性头痛,血管性头痛,头痛头晕,头晕头痛,发作性头晕头痛",,"头痛,头晕,呕吐,恶心","面色苍白,出汗,发作性头痛",,体格检查,脑电图：异常脑电图,,
儿科,睡眠障碍,,"[('睡眠不良', 500), ('睡眠障碍', 406), ('睡眠差', 288), ('发作性头晕', 32), ('睡眠启动相关障碍', 29)]",,G47,,,,,"睡眠障碍,睡眠不良,睡眠障碍,睡眠差,发作性头晕,睡眠启动相关障碍",,"噩梦,失眠,注意力不集中,嗜睡,发作性睡眠","疲乏,机体崩溃,入睡困难,易怒,抑郁,肌张力丧失,睡眠性麻痹,打鼾,晚上醒来好几次,情绪低落,幻听,眼皮下垂,昏睡,精神不振,呼吸暂停,焦虑,深部性头痛",,脑电图：异常结果,磁共振：可能正常,,
儿科,神经疾患,,"[('右侧面瘫', 66), ('左侧面瘫', 65), ('面瘫', 65), ('周围性面瘫', 6), ('神经皮肤综合征', 6)]",,G51,,,,,"神经疾患,右侧面瘫,左侧面瘫,面瘫,周围性面瘫,神经皮肤综合征",,"眼睑痉挛,鼻唇沟变浅,口角歪斜,口角下垂,感觉障碍,口眼歪斜","眼皮跳,面具脸,伸舌,面部肌肉痉挛,对侧肢体偏瘫,无法说话,一侧颜面肥大,面颊动作不灵或歪斜",,体格检查,脑电图；肌电图：异常结果,,
儿科,重症肌无力和其他肌神经疾患,,"[('MG', 166), ('重症肌无力', 100), ('MG眼肌型', 60), ('MG眼肌性', 8), ('肌无力', 2)]",,G70,,,,,"重症肌无力,肌神经疾患,MG,重症肌无力,MG眼肌型,MG眼肌性,肌无力",眼睑下垂,"视力模糊,眼外肌运动无力,构音障碍,口齿不清,吞咽困难,面肌无力,肌性肌无力","疲乏,手臂无力,呼吸异常,恶心,呕吐,眼球运动障碍,腿部无力,咀嚼困难,麻痹,瞳孔异常,气短",新斯的明试验阳性,,,,
儿科,肌肉的原发性疾患,,"[('进行性肌营养不良', 83), ('肌营养不良', 34), ('先天性肌营养不良', 6), ('杜兴氏肌营养不良', 2), ('先天性肌病', 2)]",,G71,,,,,"肌肉的原发性疾患,进行性肌营养不良,肌营养不良,先天性肌营养不良,杜兴氏肌营养不良,先天性肌病",,"骨骼肌萎缩,无力","走路年龄推迟,易跌,行走缓慢,跌倒后不易爬起",肌电图：异常结果,体格检查,,,
儿科,大脑性瘫痪[脑瘫],,"[('脑瘫', 333), ('脑发育不良', 103), ('脑性瘫痪', 4)]",,G80,,,,,"大脑性瘫痪,脑瘫,脑发育不良,脑性瘫痪",,"不自主运动,吞咽障碍,舞蹈样手足徐动,肢体瘫痪,构音障碍,步态异常","截瘫,感觉障碍,吸吮反射消失,大小便失禁,躯干姿势异常,小儿流口水",,脑电图：癫痫样波,磁共振：局部病灶或大部分病灶,,
儿科,偏瘫,,"[('偏瘫', 37), ('右侧偏瘫', 29), ('左侧偏瘫', 22), ('右侧轻偏瘫', 3), ('小儿交替性偏瘫', 3)]",,G81,,,,,"偏瘫,右侧偏瘫,左侧偏瘫,小儿交替性偏瘫",,"口角歪,肌张力增高或降低,头眼偏斜","轻偏瘫,手有僵硬抵抗感,痉挛性偏瘫",,,,,
儿童脑病中心,脑积水,,"[('脑积水', 59), ('双积水', 8), ('右积水', 2), ('积水', 2), ('梗阻性脑积水', 1)]",,G91,,,,,"脑积水,双积水,右积水,积水,梗阻性脑积水",典型症状为头痛、呕吐、视力模糊，视神经乳头水肿，偶伴复视，眩晕及癫痫发作。婴幼儿头围增大，前囟扩大、张力增高，“落日目”现象，头颅透照性，视神经乳头萎缩,"抽搐,步态不稳,头颅增大,恶心,情绪不宁,呕吐,易醒,头疼","颅内压增高,婴儿喂养困难,情感淡漠,惊跳,视力异常,耳廓红肿,易激惹,鼓膜发红,意志丧失性格,前囟饱满,前囟张力增高,昏迷,步态异常",头颅超声：脑室扩张；脑积水,头颅磁共振：脑室扩张；脑积水,,1,
儿科,脑的其他疾患,,"[('HIE', 333), ('缺氧缺血性脑病', 43), ('蛛网膜囊肿', 38), ('缺血缺氧性脑病', 17), ('脑软化', 15)]",,G93,,,,,"HIE,缺氧缺血性脑病,蛛网膜囊肿,缺血缺氧性脑病,脑软化，小脑扁桃体下疝",,"肌张力降低,意识状态变化,呕吐,头疼,恶心","共济失调,发热,呼吸异常,步态不稳,血压偏低,脑膜刺激征,心悸,震颤,视乳头水肿,脑干损害体征,痉挛性截瘫步态,去大脑强直,溶酶体酶缺陷,记忆力障碍,眼干涩酸胀,血压波动大,头昏,瞳孔异常,心动过速,短头畸形,超雄,无力,易疲劳,烦躁不安,腭部可见小出血点,昏迷,精神萎靡,颈椎痛,腕部疼痛,耳流脓,癫痫样发作,颅脑损伤后头痛,头晕,嗜睡,昏睡,颈椎增生,颅内感染,感染性发热,下肢无力,呼吸暂停,面色潮红",,,磁共振：异常结果,,
小儿神经外科,脊髓拴系综合征,G95,,,G95,No,,,嘉敏,,腰骶部特异性皮肤异常，皮肤小凹陷、皮肤窦道、局部多毛或皮毛窦、腰部中线部位血管瘤、不对称臀裂等,下肢感觉障碍、运动功能障碍、下肢畸形,大小便障碍,MRI清楚显示脊髓圆锥的位置和形态以及增粗的终丝，并可以发现椎管内（外）脂肪瘤、脊髓空洞症、脊髓纵裂及其他合并的畸形,B超可显示脊髓圆锥；CT脊髓造影能显示脂肪瘤、脊髓圆锥、马尾神经和硬脊膜之间的关系,X线平片可了解有无脊柱裂，脊柱侧弯及椎体分节不全等畸形、膀胱功能检测异常,,
小儿神经外科,骶管囊肿,G95.901 ,,,G95.901,No,,,嘉敏,,,腰骶部疼痛、会阴部感觉减退、慢性下腰部、骶尾部、会阴部疼痛不适、大腿背侧疼痛、坐骨神经痛、神经源性跛行,感觉运动功能障碍、大小便障碍,MRI检查可见椎管内脊膜囊肿；X线检查可以发现骶骨骨质侵蚀、骶管扩大、椎体后缘骨质侵蚀呈扇状花边样改变；,0,0,1,
小儿普通外科,脑脊液鼻漏,G96.001,,,G96,No,,,嘉敏,,鼻腔流出清亮或淡红色液体,低头用力鼻腔液体增加，压迫颈静脉使鼻腔液体增加,,鼻内镜检查定位到漏口、β-2 转铁蛋白检测阳性、鞘内及局部荧光素法鞘内注射荧光素后结合内镜定位漏口、CT及CT脑池造影高分辨率CT明确漏口位置,0,0,,
儿童眼科,眼睑炎症,H01.901,,,H01,No,,,白莹,麦粒肿，霰粒肿，睑板腺囊肿,睑板腺囊肿，眼睑皮下圆形肿块，睑结膜紫红色或灰红色,眼睑硬结，眼睑压痛，眼睑肿胀，睫毛和睑缘鳞屑，点状皮脂溢出，黄色蜡样分泌物，眼痒，眼刺痛，眼睑烧灼感，秃睫，睫毛乱生，,发热、寒战、头疼、全身不适，神经痛，耳前淋巴结肿大，皮肤瘢痕，败血症,0,0,斑贴试验阳性（区分过敏性与刺激性）,,
儿科眼科,眼睑的其他疾患,,"[('眼睑下垂', 21), ('双眼睑下垂', 7), ('眼睑麦粒肿', 6), ('眼睑红肿', 5), ('眼睑肿胀', 5)]",,H02,,,,,"眼睑下垂,双眼睑下垂,眼睑麦粒肿,眼睑红肿,眼睑肿胀，倒睫，上睑下垂，眼睑色素痣，乱睫，睑内翻，睑外翻，睑闭合不全，兔眼，内眦赘皮，先天性睑裂狭小综合征，先天性小睑裂",,"眼睑肿胀,眼睑下垂","眼睑麦粒肿,眼睑红肿",,,,,
儿科,泪器系疾患,,"[('鼻泪管堵塞', 37), ('鼻泪管阻塞', 25), ('泪囊堵塞', 7), ('鼻内管堵塞', 6), ('泪囊炎', 5)]",,H04,,,,,"泪器系疾患,鼻泪管堵塞,鼻泪管阻塞,泪囊堵塞,鼻内管堵塞,泪囊炎，泪道阻塞",,"泪溢,结膜充血,鼻泪管阻塞","疲乏,泪腺囊肿,发热,眼痛,皮肤干燥,味觉减退,泪腺发炎,眼干,结膜异物,口干舌燥,泪腺肿大",体格检查,,,,
儿童眼科,眼眶炎症,H05.005眼眶骨膜炎,H05.003眼眶骨髓炎,,H05,No,,,白莹,,骨髓炎，骨膜炎，眼眶蜂窝织炎，眼球筋膜炎，血栓静脉炎，眼眶结核，眼球突出，角膜炎，视力下降，眼痛,鼻窦炎，高热、恶性、呕吐、头痛，昏迷，脑脓肿，海绵窦血栓，败血症,,0,0,0,,
儿童眼科,结膜炎,,"[('结膜炎', 725), ('过敏性结膜炎', 10), ('左眼结膜炎', 9), ('右眼结膜炎', 5), ('急性结膜炎', 3)]",,H10,,,,,"结膜炎,过敏性结膜炎,左眼结膜炎,右眼结膜炎,急性结膜炎",结膜充血,"流泪,畏光,眼屎多,眼内有异物感","眼睑痉挛,眼痛,视力异常,脓性分泌物,泪溢,眼睛痒,眼疲劳,眼睑浮肿,眼睑脓肿,睑结膜充血,结膜异物,流泪增多,眼睑肥厚,两眼干涩",结膜刮片：革兰染色和姬姆萨染色初步确定病原菌的种类和结膜的炎症反应特点，如果以中性粒细胞的浸润为主，常提示细菌或衣原体感染；如单核细胞增多或出现多核巨细胞，可能是病毒性感染；如上皮细胞胞浆内有包涵体，并有淋巴细胞、浆细胞，则提示衣原体感染。,结膜的细菌学检查、分泌物的细菌培养和药敏试验：阳性,,,
儿童眼科,结膜病,H11.100-H11.901,,,H11,No,,,白莹,,结膜炎，异物感，烧灼感，痒，畏光，流泪，结膜充血，水肿，结膜渗出物，结膜乳头状增生，滤泡，伪膜，真膜，肉芽肿，假性上睑下垂，耳前淋巴结增大,结膜色素瘤，乳头状瘤，脂肪瘤；结膜鳞状细胞癌，结膜上皮内瘤变，结膜恶性黑色素瘤。痣，疣，乳头状或凝胶状，肉样,,病原学化验：结膜分泌物涂片：淋球菌阳性；病毒分离鉴定衣原体阳性；免疫荧光、PCR，血清病毒抗体效价滴度升高。细胞学检查：白细胞增多，中性粒细胞增多，淋巴细胞增多等。病理提示CIN、鳞癌、黑色素瘤等,0,0,,
儿童眼科,角膜炎,H16.901,,,H16,No,,,白莹,,眼痛、畏光、流泪，眼睑痉挛，视力下降，睫状体充血，角膜浸润，溃疡形成，房水闪辉，房水浑浊，前房积脓，瞳孔缩小，虹膜后粘连。球结膜水肿，眼充血，脓性分泌物，,角膜外伤史，戴角膜接触镜史，淋球菌感染的经阴道分娩,,裂隙灯活体显微镜检：上皮缺损，荧光素染色缺损清晰，睫状体充血，角膜浸润，溃疡形成。病原菌培养阳性（葡萄球菌，淋球菌、疱疹病毒等）,0,0,,
儿童眼科,角膜肿瘤,H18.901,,,H18,No,,,白莹,,角膜缘实性肿物，界清，弧形脂质沉着带；角膜结膜交界处肿物，白色半透明或胶冻样，表面松针样新生血管，界限清楚；角膜缘菜花状肿物，浆液脓性分泌物,角膜散光，视力下降，,上睑缺失，耳部畸形，脊柱异常，Goldenhar综合征,病理组织学诊断角膜鳞状细胞癌或上皮癌等,0,0,,
儿童眼科,白内障,H26.901,,,H26,No,,,白莹,,晶状体浑浊，视力下降，对比敏感度下降，屈光改变，复视或多视，眩光，色觉改变，视野缺损。,先天性白内障，外伤性白内障，老年性白内障，代谢性白内障,,裂隙灯或显微镜或检眼镜下见晶状体浑浊,裂隙灯见晶状体皮质中有空泡，水隙，羽毛状混浊，虹膜投影，钙化点，晶状体脱位或移位，晶状体核硬化,血糖升高，新生儿低血糖，尿酮体阳性，尿糖阳性，尿氨基酸阳性，肝肾功能异常，尿苯丙酮酸阳性，同型半胱氨酸尿阳性,,
儿童眼科,其他视网膜疾患,,"[('眼底筛查', 2152), ('新生儿眼底筛查', 167), ('眼底检查', 124), ('早产儿筛查', 8), ('早产儿视网膜病变', 2)]",,H35,,,,,"视网膜疾患,眼底筛查,新生儿眼底筛查,眼底检查,早产儿筛查,早产儿视网膜病变",,"视网膜出血,夜盲,视物模糊,视网膜脱离,视网膜水肿,视物变形,视野障碍","色觉异常,眼底出血,视力异常,黑蒙,眼前冒紫烟,腹部痉挛,阴道流出液体,眼底樱桃红斑,阴道流血,红眼,中央视觉的迅速消失,后背下部疼痛,腹痛,视网膜静脉曲张,盆腔坠痛,视野缺损,阴道出血,玻璃体有血迹,假性近视,眼痛,宫缩,视力视野障碍,答话不清,水肿,视物出现扭曲,疣状增殖,眼底改变,虹视",眼底检查：异常结果,,,,
儿童眼科,青光眼,H40.901,,,H40,No,,,白莹,,青光眼斑，扇形虹膜萎缩，色素脱失，局限性后粘连，瞳孔散大固定，房角广泛粘连。青光眼性视盘凹陷，视野缺损，前房钱，房角窄，畏光，流泪，眼睑痉挛,青光眼，眼压升高，房角改变，视野缺损，视盘改变，剧烈头痛，畏光，流泪，视力严重减退。眼睑水肿，混合性充血，角膜上皮水肿，房水浑浊。前房浅，虹膜膨隆，房角狭窄，突感雾视，虹视，额部疼痛，鼻根部酸胀，瞳孔扩大，光反射迟钝。压延波动，房角开放，眼底改变，视盘凹陷进行性扩大加深，视盘杯盘比增大，双眼凹陷不对称，视盘线装出血，视网膜神经纤维层缺损。,恶心，头痛，呕吐,暗室实验后眼压升高，裂隙灯检查上皮呈水珠状，房角镜是房角关闭，粘连。角膜后棕色色素沉着。瞳孔中等扩大。眼底改变：青光眼性视盘凹陷，青光眼性视野缺损。开角型：眼底改变，视盘凹陷进行性扩大加深，视盘杯盘比增大，双眼凹陷不对称，视盘线装出血，视网膜神经纤维层缺损。视野检查：孤立的旁中心暗点，鼻侧阶梯暗点融合，弓形暗点，象限型或偏盲性缺损。仅存管状视野和颞侧视岛。,婴幼儿青光眼：角膜横径＞12mm，房角检查视虹膜前位插入，房角隐窝缺失，超声检查阳性。,,,
儿童眼科,斜视,H50.901,,,H50,No,,,白莹,,先天性内斜视，调节性内斜视，非调节性内斜视，非共同性内斜视，间歇性外斜视，恒定性外斜视，垂直斜视，AV型斜视，垂直分离性斜视，先天性脑神经发育异常综合征，甲状腺相关眼病，上斜肌肌鞘综合征,弱视，屈光不正，复试，视觉疲劳，阅读困难，视物模糊，头痛，畏光，眼球运动受限,,遮盖检查：遮盖-去遮盖，交替遮盖，有眼球移动，提示有斜视，视力检查提示弱视或复视，斜视角检查阳性。眼球运动检查异常，感觉功能检查异常,,,,
儿童眼科,屈光不正,H52.301,,,H52,No,,,白莹,,近视，远视，散光,近距阅读眼酸、头痛，视觉疲劳；夜间视力差，飞蚊症，漂浮物，闪光感；不能聚焦，双眼屈光度数不等。,黄斑出血、视网膜下新生血管，豹纹状眼底，近视弧形斑，色素沉着,验光提示近视，远视，散光，双眼屈光差异＞1.00D。,,,,
儿童眼科,弱视,H53.002,先天性弱视,,H53,No,,,白莹,,双眼最佳矫正视力下降，眼部检查无器质性病变,,单眼斜视，屈光参差，高度屈光不正，形觉剥夺,视力表：两眼最佳矫正视力相差2行或更多，较差一眼为弱视（3-5岁正常视力下限参考0.5，6岁以上0.7,屈光检查提示屈光不正，注视性质检查异常，电生理检查图形视觉诱发电位P100波潜伏期延长，振幅下降,,,
儿童眼科,眼球震颤,H55.X02,,,H55,No,,,白莹,,钟摆型眼球震颤，水平性眼球震颤，垂直性眼球震颤，旋转性眼球震颤，混合性眼球震颤，先天性眼球震颤，后天性眼球震颤,非自主的眼球摆动，冲动型眼球震颤,,,,,,
儿童眼科,眼部疾病,H57.900,,,H57,No,,,白莹,,眼表疾病，结膜病，角膜病，巩膜病 ，晶状体病，青光眼，葡萄膜病，玻璃体病，视网膜病，眼眶疾病，眼外伤,眼睑病，泪器病，视路疾病，屈光不正,,,,,,
儿童耳鼻咽喉科,化脓性和未特指的中耳炎,,"[('中耳炎', 124), ('化脓性中耳炎', 19), ('右耳中耳炎', 4), ('左化脓性中耳炎', 2), ('左耳急性化脓性中耳炎', 2)]",,H66,,,,,"化脓性和未特指的中耳炎,中耳炎,化脓性中耳炎,右耳中耳炎,左化脓性中耳炎,左耳急性化脓性中耳炎",耳道流脓,"耳痛,鼓膜充血,咽鼓管堵塞,耳内发胀","听力减退,耳漏,耳内闭塞感,耳廓红肿,耳根部疼痛,耳鼓膜破裂,挖耳出血",体格检查,,,,
儿童耳鼻咽喉科,耳聋,H91.900 ,,,H91,No,,,嘉敏,,听力下降、对声音无响应,耳鸣、眩晕、耳闷,听觉过敏、幻听、头痛,纯音测听阈升高、听力曲线异常,阈上测听、言语测听、声阻抗测听、耳蜗电图检查及听性脑干反应,,,
儿科,风湿性三尖瓣疾病,,"[('三尖瓣反流', 44), ('三尖瓣轻度反流', 10), ('胎儿三尖瓣反流', 4), ('三尖瓣少量反流', 2), ('轻度三尖瓣反流', 2)]",,I07,,,,,"风湿性三尖瓣疾病,三尖瓣反流,三尖瓣轻度反流,胎儿三尖瓣反流,三尖瓣少量反流,轻度三尖瓣反流",,"食欲下降,疲乏,发热,单项Alt升高,大块肝细胞坏死,压痛,肝区痛,右上腹疼痛","呼吸困难,水肿,皮肤冷,颈部搏动",病史采集,超声心动图：三尖瓣狭窄；三尖瓣关闭不全；赘生物,心电图：有异常表现，根据不同的病变有所不同,,
福田-心血管内科,高血压,I10,,,I10,No,,,唐晓昱,,血压高,头晕，头痛，心悸，胸闷，呕吐，眩晕,,,,,,
儿童心脏中心,肺动脉高压,I27.000 ,,,I27,No,,,王叮咛,,呼吸困难、进行性活动后气短,运动耐量减低、晕厥、猝死、心绞痛、胸痛、咯血、声音嘶哑、腰骶部水肿、胸腹水、口唇发绀、指尖发绀、耳廓发绀,疲劳、乏力、神经系统症状，食欲缺乏、恶心、呕吐、上腹胀痛、脱发、光敏、口腔溃疡、关节炎,心电图：右室超负荷、肥厚和右方扩张。胸片：右下肺动脉横径≥15mm，肺动脉段突出≥3mm，中央肺动脉扩张、外周肺血管丢失形成“残根征”，右房、右室扩大，心胸比增大。右心导管检查和畸形血管扩张试验：准确获得肺循环及右心系统的血流动力学特征。,超声心动图：用于估测肺动脉压力，排除其他病因，如先心病、瓣膜病等，还可评价右心功能、判断预后。肺功能测定：明确气道和肺实质病变。肺通气/灌注扫描：有无肺栓塞。BNP或NT-proBNP升高、凝血酶原时间缩短。高分辨率CT和增强CT：肺实质和肺血管影像学信息。MRI：直接评估右室形态、大小和功能，也能无创评估部分右心血流动力学特征。多导睡眠监测：排除缺氧性肺动脉高压。心肺运动实验：评价心功能、气体交换能力。6分钟步行距离：评价患者运动耐量。肺动脉造影：排除肺栓塞、肺动脉肿瘤等。,自身抗体、肝功能与肝炎病毒标志物、HIV抗体、甲状腺功能检查。胸腔镜肺活检。,,
儿科,肺血管的其他疾病,,"[('PS', 77), ('肺动脉狭窄', 28), ('PS介入', 12), ('重度PS', 2), ('PS扩张', 2)]",,I28,,,,,"肺血管的其他疾病,PS,肺动脉狭窄,PS介入,重度PS,PS扩张",,"紫绀,晕厥,活动后呼吸困难,心脏杂音","复视,胸痛,肺部造影异常",胸片：肺纹理增粗,,,,
儿童心脏中心,心内膜炎,I33.900 ,,,I33,No,,,王叮咛,,心脏出现粗糙响亮杂音、心脏有呈海鸥鸣样杂音，心脏有音乐样的杂音、Roth斑、Osler结节、Janeway损害,心脏杂音，发热、弛张性低热＜39℃、头痛、背痛、肌肉关节痛、突发心力衰竭、瘀点、指和趾甲下线状出血、微血管炎、微栓塞、动脉栓塞、脑栓塞、肺栓塞、,全身不适、乏力、食欲不振、体重减轻、咳嗽、呼吸困难、咯血、胸痛、肺坏死空洞、脓气胸、脾大、贫血,血细菌培养阳性；超声心动图检查能够检出直径大于2mm以上的赘生物；免疫学检查：免疫复合物阳性，类风湿因子阳性；,血清补体下降、高丙种球蛋白血症；心电图：可能出现致命的室性心律失常；房颤提示房室瓣反流；完全房室传导阻滞、右束支阻滞、左前或左后分支阻滞提示心肌化脓灶或炎性反应加重；,血常规：多为正细胞性贫血与白细胞数增多、中性粒细胞升高；血沉增快；C反应蛋白阳性；尿常规：显微镜下血尿和轻度蛋白尿、,,
儿童心脏中心,三尖瓣下移畸形,I36.900 ,,,I36,No,,,王叮咛,,童年期逐渐出现劳累后气急、心悸、紫绀；心脏杂音，三尖瓣关闭不全，收缩期杂音，三尖瓣狭窄产生的舒张期杂音，吸气时杂音响度增强；,出生一周内呼吸困难、紫绀、充血性心力衰竭；预激综合征；胸痛；室上性心动过速；,生长发育差、瘦小、紫绀；颧颊潮红、奔马律、肝脏搏动、,超声心动图：三尖瓣前瓣叶增大，活动幅度大，隔瓣叶和后瓣叶明显下移，发育不良，活动度差，三尖瓣关闭延迟，瓣膜位置左移，室间隔动作反常；心导管及心血管造影：可见右房增大、房化右心室、扩大的功能性右室流出道及下移的三尖瓣附着部。,X线检查：肺血减少或正常，心脏呈球形或椭圆形增大，血管蒂窄；心电图：右心房肥大、不完全性或完全性右束支传导阻滞；电生理检查：明确分型，有无预激综合征；,,,
儿科,肺动脉瓣疾患,,"[('肺动脉瓣狭窄', 104), ('肺动脉瓣狭窄球囊扩张', 9), ('肺动脉瓣狭窄介入', 7), ('重度肺动脉瓣狭窄', 5), ('肺动脉瓣重度狭窄介入', 3)]",,I37,,,,,"肺动脉瓣疾患,肺动脉瓣狭窄,肺动脉瓣狭窄球囊扩张,肺动脉瓣狭窄介入,重度肺动脉瓣狭窄,肺动脉瓣重度狭窄介入",,"疲乏,嘴唇发青,下肢水肿,心率过快,劳动后气急","劳动耐力差,气急,头晕,肝脏肿大,劳累后心悸,剧烈运动后昏厥发作,乏力,颈静脉怒张",心脏超声：肺动脉瓣狭窄；肺动脉瓣关闭不全,,,,
儿童心内科,心脏瓣膜性疾病,I38.x01,,,I38,No,,,王叮咛,,二尖瓣狭窄；二尖瓣关闭不全；主动脉瓣狭窄；主动脉瓣关闭不全；多瓣膜病；心房心室结构改变，心房心室功能失常；,心力衰竭；心律失常；呼吸困难,呼吸困难、咳嗽、 心悸、咯血、紫绀、乏力、肺水肿、心前区痛、嘎声、吞咽困难,超声心动图：M型超声心动图示二尖瓣曲线舒张期E峰下降缓慢，F点消失而呈一平线，即城垛样改变；后瓣舒张期与前叶呈同向活动；左房增大，右室增大等表现。,心电图：电轴右偏，顺钟向转位，Ⅰ、Ⅱ、aVL、aVR导联中P波增宽（>0.11秒）并有切迹或振幅增高；X线：左房增大，后前位片心影的右侧有双重阴影；,,,
